Montgomery AL,Juneau AK,Phoenix AZ,Little Rock AR,Sacramento CA,Denver CO,Hartford CT,Dover DE,Tallahassee FL,Atlanta GA,Boise ID,Springfield IL,Indianapolis IN,Des Moines IA,Topeka KS,Frankfort KY,Baton Rouge LA,Augusta ME,Annapolis MD,Boston MA,Lansing MI,Saint Paul MN,Jackson MS,Jefferson City MO,Helena MT,Lincoln NE,Carson City NV,Concord NH,Trenton NJ,Santa Fe NM,Albany NY,Raleigh NC,Bismarck ND,Columbus OH,Oklahoma City OK,Salem OR,Harrisburg PA,Providence RI,Columbia SC,Pierre SD,Nashville TN,Austin TX,Salt Lake City UT,Montpelier VT,Richmond VA,Olympia WA,Charleston WV,Madison WI,Cheyenne WY
910,6208,3497,1426,4482,2688,970,575,989,652,3931,1347,1013,1771,1822,831,1495,1374,476,1128,1183,1952,1265,1535,3694,2031,4316,1204,695,2812,1009,0,2647,771,1956,4681,601,1075,364,2558,866,2186,3446,1288,248,4691,512,1542,2743
2532,3619,2381,1948,2404,1129,2782,2600,2869,2475,1661,1530,1636,1074,1238,1903,2496,3177,2513,2931,1697,700,2327,1520,1049,1061,2239,2898,2603,1758,2662,2645,0,1915,1520,2172,2408,2907,2631,337,2079,2138,1488,2878,2634,2047,2133,1117,971
1062,5477,3016,1166,3759,2025,1064,770,1338,913,3208,617,282,1041,1159,299,1553,1495,683,1249,411,1221,1273,872,2963,1307,3593,1216,787,2332,979,773,1916,0,1473,3958,592,1164,832,1828,608,1988,2723,1196,770,3961,262,811,2020
1273,5105,1544,545,2619,1091,2535,2243,1610,1364,2394,957,1191,878,473,1306,1017,2966,2155,2720,1582,1278,977,676,2348,702,2487,2686,2260,859,2450,1956,1522,1473,0,3144,2064,2636,1707,1184,1091,624,1909,2667,2077,3241,1614,1348,1237
4209,3106,2077,3606,862,2067,4895,4713,4546,4249,764,3344,3676,2951,2918,3863,4026,5290,4626,5044,3810,2869,4020,3213,1136,2653,832,5011,4716,2307,4775,4683,2171,3958,3142,0,4521,5020,4560,2249,3853,3378,1305,4991,4680,257,4171,3286,1943
1409,5961,3608,1717,4323,2616,469,207,1574,1151,3773,1208,874,1573,1751,905,1920,874,180,628,881,1705,1662,1464,3447,1875,4158,704,205,2924,471,601,2400,593,2065,4523,0,576,917,2328,1157,2539,3288,723,354,4445,589,1295,2585
1937,6457,4163,2272,4820,3148,118,554,2048,1680,4269,1763,1429,2069,2306,1460,2475,349,634,80,1245,2201,2216,2019,3943,2371,4654,187,395,3478,263,1074,2896,1148,2620,5019,563,0,1423,2824,1712,3093,3784,368,827,4941,1143,1791,3081
594,6193,3314,1180,4326,2565,1318,922,582,345,3808,1305,994,1755,1699,738,1180,1722,824,1476,1243,1937,958,1412,3620,1908,4194,1552,1043,2567,1380,363,2632,831,1710,4558,916,1423,0,2535,710,1870,3324,1636,596,4618,572,1527,2620
2185,3951,2156,1616,2352,843,2710,2528,2522,2224,1801,1320,1548,810,907,1816,2165,3105,2440,2859,1625,653,1995,1188,1127,664,2186,2825,2531,1396,2589,2560,337,1830,1184,2250,2335,2835,2536,0,1829,1801,1316,2806,2557,2125,2048,1044,679
453,5640,2632,560,3653,1859,1620,1230,790,398,3102,599,462,1055,993,336,944,2025,1132,1779,862,1410,667,706,2914,1201,3487,1854,1356,1947,1586,866,2079,607,1091,3852,1158,1726,710,1828,0,1382,2617,1803,987,3911,623,1000,1914
1277,5750,1618,827,2834,1474,3001,2612,1399,1482,2626,1481,1761,1496,1091,1716,695,3406,2514,3161,2107,1895,874,1201,2747,1320,2733,3236,2738,1105,2966,2134,2139,1987,625,3376,2540,3108,1869,1801,1382,0,2075,3183,2369,3473,2002,1965,1637
2973,3946,1062,2371,1044,831,3660,3477,3310,3013,555,2108,2440,1715,1682,2627,2685,4054,3390,3808,2575,2017,2644,1977,779,1417,879,3775,3480,1005,3539,3447,1487,2722,1907,1305,3285,3784,3324,1316,2617,2076,0,3756,3444,1402,2935,2184,707
2125,6072,4208,2362,4792,3120,322,770,2265,1868,4241,1812,1474,2041,2351,1494,2637,290,850,290,1180,2173,2378,2064,3915,2343,4626,192,611,3524,254,1291,2868,1195,2666,4991,725,368,1639,2796,1804,3183,3756,0,1044,4913,1305,1763,3053
1112,6185,3618,1546,4478,2685,722,327,1223,855,3928,1344,1010,1768,1819,828,1697,1126,229,881,1105,1929,1468,1532,3670,2027,4313,956,448,2933,762,249,2623,768,2076,4678,353,828,597,2555,987,2368,3443,1041,0,4668,509,1518,2740
4267,2851,2330,3703,1115,2164,4827,4644,4604,4307,861,3402,3680,2892,3015,3948,4123,5221,4557,4975,3742,2744,4116,3271,1011,2749,1085,4942,4647,2404,4706,4690,2046,3959,3239,256,4452,4951,4618,2125,3911,3475,1402,4923,4679,0,4177,3161,2040
1048,5696,3156,1180,3970,2176,1051,708,1146,805,3419,835,501,1259,1310,319,1547,1456,620,1210,673,1440,1288,1023,3181,1519,3804,1286,774,2472,1053,512,2134,261,1614,4169,589,1158,571,2046,622,2002,2934,1305,509,4179,0,1030,2231
1451,4679,2719,1133,3217,1546,1677,1495,1788,1394,2666,425,531,467,880,798,1642,2072,1408,1826,592,423,1365,691,2165,768,3052,1793,1498,2005,1556,1540,1118,810,1345,3288,1302,1802,1526,1046,998,1962,2182,1773,1529,3163,1028,0,1478
2269,4115,1477,1702,1744,162,2956,2774,2606,2309,1193,1404,1736,1011,1013,1923,2122,3351,2686,3105,1871,1410,2115,1273,1113,713,1579,3071,2776,791,2835,2744,970,2018,1238,1943,2581,3080,2620,679,1913,1637,709,3052,2741,2040,2231,1481,0
